internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
56758,Pristimantis memorans,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,memorans,,,,,"(Myers &amp; Donnelly, 1997)","<p>In the <em>Pristimantis (Pristimantis) unistrigatus</em> species group by Hedges <em>et al</em>. (2008), but not assigned to any species group in the last molecular analysis of the New World direct-developing frogs of Padial <em>et al.</em> (2014).</p>"
59501,Caecilia abitaguae,ANIMALIA,CHORDATA,AMPHIBIA,GYMNOPHIONA,CAECILIIDAE,Caecilia,abitaguae,,,,,"Dunn, 1942",The taxonomic status of this species is unclear.
59509,Caecilia crassisquama,ANIMALIA,CHORDATA,AMPHIBIA,GYMNOPHIONA,CAECILIIDAE,Caecilia,crassisquama,,,,,"Taylor, 1968",The taxonomic status of this species is unclear.
59512,Caecilia dunni,ANIMALIA,CHORDATA,AMPHIBIA,GYMNOPHIONA,CAECILIIDAE,Caecilia,dunni,,,,,"Hershkovitz, 1938",The taxonomic status of this species is unclear. The Colombian specimens identified as <i>Caecilia dunni</i> were revalidated and assigned to <i>C. leucocephala</i> and <i>C. perdita</i>.
135731,Pristimantis waoranii,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,waoranii,,,,,"(McCracken, Forstner &amp; Dixon, 2007)","<em>Pristimantis waoranii</em> can be distinguished from other similar species by a combination of morphological features and different colour patterns (see McCracken <em>et al.</em> 2007).&#160;This species is within the <em>Pristimantis lacrimosus</em> according to Padial <em>et al</em>. (2014) and Hedges <em>et al</em>. (2008). It is possible that this is not a valid species, so taxonomic work is needed for the entire species group (D.F. Cisneros-Heredia pers. comm. 2021)."
136065,Rhinella lescurei,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Rhinella,lescurei,,,,,"Fouquet, Gaucher, Blanc &amp; Velez-Rodriguez, 2007",In the <em>Rhinella margaritifera</em> group according to the original publication. This species can be distinguished from other similar species by a combination of morphological and vocalization features (Fouquet <em>et al</em>. 2007).
158614,Dendropsophus reichlei,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Dendropsophus,reichlei,,,,,"Moravec, Aparicio, Guerrero-Reinhard, Calderón &amp; Köhler, 2008","Tentatively assigned to the<span style=""font-style: italic;""> Dendropsophus microcephalus</span> group according to the original description (Moravec <span style=""font-style: italic;"">et al. </span>2008)."
54490,Atelopus arthuri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Atelopus,arthuri,,,,,"Peters, 1973",
54491,Atelopus balios,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Atelopus,balios,,,,,"Peters, 1973",
54492,Atelopus bomolochos,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Atelopus,bomolochos,,,,,"Peters, 1973","Lötters <em>et al. </em>(2011)&#160;provided molecular evidence that this nominal species is a complex of species.&#160;The specimens from the Departamento Piura, Peru belong to an undescribed species (Coloma<em>&#160;</em><em>et al.</em>&#160;2000)."
54493,Atelopus boulengeri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Atelopus,boulengeri,,,,,"Peracca, 1904",
54501,Atelopus coynei,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Atelopus,coynei,,,,,"Miyata, 1980",
54508,Atelopus exiguus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Atelopus,exiguus,,,,,"Boettger, 1892",This species was removed from the synonymy of <i>Atelopus ignescens</i> by McDiarmid (1971).
54515,Atelopus guanujo,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Atelopus,guanujo,,,,,"Coloma, 2002",
54518,Atelopus ignescens,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Atelopus,ignescens,,,,,"(Cornalia, 1849)","Coloma, Lötters and Salas (2000) redefined <em>Atelopus ignescens</em> and restricted the species to the north-central Andes of Ecuador. Populations in northern Ecuador (in Cachi Province), and adjacent southern Colombia (Narino Department), previously assigned to <em>Atelopus ignescens</em> are now considered to belong to an undescribed species."
54522,Atelopus longirostris,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Atelopus,longirostris,,,,,"Cope, 1868","The specimens in the lowlands may be a different species as they are based on old museum specimens and doubtful collecting localities.&#160;Tapia <em>et al.</em>&#160;(2017) excluded these records from the current known range of the species and therefore they are considered as Presence Uncertain in this reassessment until they can be reassigned to another taxon. Reports from&#160;Valle del Cauca Department in Colombia, refer to an unidentified, probably unnamed species and are excluded from this assessment."
54532,Atelopus nanay,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Atelopus,nanay,,,,,"Coloma, 2002",
54533,Atelopus nepiozomus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Atelopus,nepiozomus,,,,,"Peters, 1973","Yánez-Muñoz <em>et al</em><em>. </em>(2010) reported this species from Parque Nacaional Podocarpus, but Frenkel <em>et al</em><em>. </em>(2018) note that this actually corresponds to another species, <em>Atelopus halihelos</em>."
54537,Atelopus palmatus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Atelopus,palmatus,,,,,"Andersson, 1945",Records other than from the type locality (e.g. Peters 1973) are considered here to refer to <em>Atelopus planispina</em>.
54543,Atelopus planispina,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Atelopus,planispina,,,,,"Jiménez de la Espada, 1875",The taxonomic status of <em>A. planispina</em> and <em>A. palmatus</em> was discussed by Coloma (1997). Records of&#160;<em>A. palmatus </em>from Napo Province actually belong to this species (Ecuador Red List Assessment Workshop July 2016).
54568,Rhinella amabilis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Rhinella,amabilis,,,,,"(Pramuk &amp; Kadivar, 2003)",
54597,Rhaebo caeruleostictus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Rhaebo,caeruleostictus,,,,,"(Günther, 1859)",
54855,Osornophryne antisana,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Osornophryne,antisana,,,,,"Hoogmoed, 1987","Gluesenkamp and&#160;Guayasamin&#160;(2008) this species is reported in the Sumaco Volcano, but in fact they are males of&#160;<em>Osornophryne sumacoensis&#160;</em>verified by Páez-Moscoso <em>et al.</em> (2011).&#160;The identity of the specimens from the northern part of Parque Nacional Llanganates requires confirmation."
54859,Osornophryne sumacoensis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Osornophryne,sumacoensis,,,,,"Gluesenkamp, 1995",
54933,Centrolene pipilata,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Centrolene,pipilata,,,,,"(Lynch &amp; Duellman, 1973)",
54946,Nymphargus anomalus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Nymphargus,anomalus,,,,,"(Lynch &amp; Duellman, 1973)",
54950,Nymphargus cariticommatus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Nymphargus,cariticommatus,,,,,"(Wild, 1994)",
54954,Nymphargus cochranae,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Nymphargus,cochranae,,,,,"(Goin, 1961)",<p><em>Nymphargus cochranae</em> might be a species complex (Guayasamín <em>et al.</em> 2020).</p>
55046,Hyloxalus anthracinus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Hyloxalus,anthracinus,,,,,"(Edwards, 1971)",
55049,Hyloxalus awa,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Hyloxalus,awa,,,,,"(Coloma, 1995)",
55065,Hyloxalus cevallosi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Hyloxalus,cevallosi,,,,,"(Rivero, 1991)","<em>Hyloxalus cevallosi</em>&#160;and&#160;<em>Leucostethus fugax</em>&#160;are similar (as originally described in 1991 and 1993 respectively) and their type localities are from the same general area in Río Bobonaza, Provincia Pastaza. The description of&#160;<em>H.&#160;</em><em>cevallosi&#160;</em>was based on a single male, with no mention of having a Finger&#160;III&#160;swollen and by having a&#160;brownish-grey venter. Whereas the&#160;<em>L. fugax</em>&#160;description was based on a series of specimens, of which the holotype was a male with a Finger&#160;III&#160;swollen and a uniform cream venter. After 1993, collections in the area have revealed specimens of only one species with a Finger III swollen in males and having tubercles in the eyelid (present also in other species of&#160;<em>Leucostethus</em>). The specimens with&#160;these&#160;unique two features have been identified in museum collections ambiguously either as&#160;<em>L. fugax&#160;</em>or&#160;<em>H.</em>&#160;<em>cevallosi</em>&#160;(e.g.&#160;QCAZ Bioweb).&#160;Until further verification of the identity of&#160;<em>H. cevallosi</em>&#160;is undertaken we treat<em>&#160;H. cevallosi</em> as occurring&#160;only from the localities mentioned in the original description (Coloma and Duellman in prep.)."
